form_id,название_формы_ru,категория,source_key,operation,value,полярность,время,стиль,залог,аспект_конструкция,регистр,train_default,пояснение,пример_食べる,flag_negative,flag_past,flag_future,flag_desire,flag_ability,flag_obligation,flag_invitation,flag_command,flag_prohibition,flag_conditional,flag_progressive,flag_passive,flag_causative,flag_causative_passive,flag_polite,flag_te_form,flag_volitional,flag_colloquial,flag_rare,task_flags_ru,task_flags_alt_ru,ru_prompt_strategy,ru_prompt_verb_slot,ru_prompt_template,ru_prompt_alt_template,requires_context,prompt_note_ru,chunk_template_easy,chunk_template_medium,chunk_template_hard,semantic_complexity_1_5,recommended_chunk_level,template_syntax_ru,distractor_strategy,example_iku_easy,example_iku_medium,example_iku_hard,semantic_intent,mode_b_semantic_key,grammar_id,canonical_grammar_id,grammar_label_ru,grammar_pattern,resolver_atomic_pattern,accepted_alternative_grammar_ids,alternative_requires_form_available,alternative_acceptance_note_ru,requires_explicit_grammar_hint,allow_multiple_correct_answers,mode_b_enabled
masu_nonpast,Вежливая непрошедшая утвердительная (〜ます),вежливые,masu_основа,append,ます,утвердительная,непрошедшее,вежливая,действительный,,стандартная,1,,食べます,0,0,optional,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,вежливо,буду|вежливо,natural,ru_present_1sg,{ru_present_1sg},{ru_future_1sg},0,,BASE|MASU_LINK+MASU,BASE|MASU_LINK|MASU,BASE|MASU_LINK|MASU,1,medium,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kimasu,行|ki|masu,行|ki|masu,plain_polite,plain_polite|вежливо,masu_nonpast,masu_nonpast,Вежливая · 〜ます,BASE + MASU_LINK + MASU,BASE|MASU_LINK|MASU,,0,,0,0,1
masu_past,Вежливая прошедшая утвердительная (〜ました),вежливые,masu_основа,append,ました,утвердительная,прошедшее,вежливая,действительный,,стандартная,1,,食べました,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,прошлое|вежливо,,natural,ru_past_pf_mf,{ru_past_pf_mf},,0,,BASE|MASU_LINK+MASHITA,BASE|MASU_LINK|MASHITA,BASE|MASU_LINK|MASHITA,2,medium,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kimashita,行|ki|mashita,行|ki|mashita,plain_polite,plain_polite|прошлое|вежливо,masu_past,masu_past,Вежливая прошедшая · 〜ました,BASE + MASU_LINK + MASHITA,BASE|MASU_LINK|MASHITA,,0,,0,0,1
masu_negative,Вежливая непрошедшая отрицательная (〜ません),вежливые,masu_основа,append,ません,отрицательная,непрошедшее,вежливая,действительный,,стандартная,1,,食べません,1,0,optional,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,не|вежливо,не|буду|вежливо,natural,ru_present_1sg,не {ru_present_1sg},не {ru_future_1sg},0,,BASE|MASU_LINK+MASEN,BASE|MASU_LINK|MASEN,BASE|MASU_LINK|MASEN,2,medium,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kimasen,行|ki|masen,行|ki|masen,plain_polite,plain_polite|не|вежливо,masu_negative,masu_negative,Вежливая отрицательная · 〜ません,BASE + MASU_LINK + MASEN,BASE|MASU_LINK|MASEN,,0,,0,0,1
masu_negative_past,Вежливая прошедшая отрицательная (〜ませんでした),вежливые,masu_основа,append,ませんでした,отрицательная,прошедшее,вежливая,действительный,,стандартная,1,,食べませんでした,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,не|прошлое|вежливо,,natural,ru_past_pf_mf,не {ru_past_pf_mf},,0,,BASE|MASU_LINK+MASEN+DESHITA,BASE|MASU_LINK|MASEN+DESHITA,BASE|MASU_LINK|MASEN|DESHITA,3,hard,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kimasendeshita,行|ki|masendeshita,行|ki|masen|deshita,plain_polite,plain_polite|не|прошлое|вежливо,masu_negative_past,masu_negative_past,Вежливая отрицательная прошедшая · 〜ませんでした,BASE + MASU_LINK + MASEN + DESHITA,BASE|MASU_LINK|MASEN|DESHITA,,0,,0,0,1
masu_volitional,Вежливая волевая форма (〜ましょう),вежливые,masu_основа,append,ましょう,утвердительная,непрошедшее,вежливая,действительный,,стандартная,1,,食べましょう,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,давайте|вежливо,,natural,ru_1pl_pf,давайте {ru_1pl_pf},,0,,BASE|MASU_LINK+MASHOU,BASE|MASU_LINK|MASHOU,BASE|MASU_LINK|MASHOU,2,medium,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kimashou,行|ki|mashou,行|ki|mashou,invitation_volitional,invitation_volitional|давайте|вежливо,masu_volitional,masu_volitional,"Волевая, вежливо · 〜ましょう",BASE + MASU_LINK + MASHOU,BASE|MASU_LINK|MASHOU,,0,,0,0,1
masu_tara,Вежливая условная 〜ましたら,вежливые,masu_основа,append,ましたら,утвердительная,—,вежливая,действительный,,стандартная,1,,食べましたら,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,если|вежливо,,natural,ru_conditional_pf_1sg,если {ru_conditional_pf_1sg},,0,,BASE|MASU_LINK+MASHITA+RA,BASE|MASU_LINK|MASHITA+RA,BASE|MASU_LINK|MASHITA|RA,3,hard,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kimashitara,行|ki|mashitara,行|ki|mashita|ra,conditional_affirmative,conditional_affirmative|если|вежливо,masu_tara,masu_tara,"Условная, вежливо · 〜ましたら",BASE + MASU_LINK + MASHITA + RA,BASE|MASU_LINK|MASHITA|RA,,0,,0,0,1
masu_negative_tara,Вежливая отрицательная условная 〜ませんでしたら,вежливые,masu_основа,append,ませんでしたら,отрицательная,—,вежливая,действительный,,стандартная,1,,食べませんでしたら,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,если|не|вежливо,,natural,ru_conditional_pf_1sg,если не {ru_conditional_pf_1sg},,0,,BASE|MASU_LINK+MASEN+DESHITA+RA,BASE|MASU_LINK|MASEN+DESHITA|RA,BASE|MASU_LINK|MASEN|DESHITA|RA,4,hard,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kimasendeshitara,行|ki|masendeshita|ra,行|ki|masen|deshita|ra,conditional_negative,conditional_negative|если|не|вежливо,masu_negative_tara,masu_negative_tara,"Отрицательная условная, вежливо · 〜ませんでしたら",BASE + MASU_LINK + MASEN + DESHITA + RA,BASE|MASU_LINK|MASEN|DESHITA|RA,,0,,0,0,1
masu_ba_rare,Вежливая условная 〜ませば,вежливые,masu_основа,append,ませば,утвердительная,—,вежливая,действительный,,редкая/книжная,0,Форма со скриншота; для современного базового курса лучше не включать по умолчанию.,食べませば,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,если|вежливо,,natural,ru_conditional_pf_1sg,если {ru_conditional_pf_1sg},,0,,BASE|MASU_LINK+MASEBA,BASE|MASU_LINK|MASEBA,BASE|MASU_LINK|MASEBA,3,hard,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kimaseba,行|ki|maseba,行|ki|maseba,conditional_affirmative,conditional_affirmative|если|вежливо,masu_ba_rare,masu_ba_rare,"Условная, редкая · 〜ませば",BASE + MASU_LINK + MASEBA,BASE|MASU_LINK|MASEBA,,0,,1,0,0
masu_negative_nara_rare,Условная конструкция 〜ませんなら,вежливые,masu_основа,append,ませんなら,отрицательная,—,вежливая,действительный,,редкая,0,"На скриншоте подписана как -eba conditional, но структурно это 〜ません + なら.",食べませんなら,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,если|не|вежливо,,natural,ru_conditional_pf_1sg,если не {ru_conditional_pf_1sg},,0,,BASE|MASU_LINK+MASEN+NARA,BASE|MASU_LINK|MASEN+NARA,BASE|MASU_LINK|MASEN|NARA,3,hard,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kimasennara,行|ki|masennara,行|ki|masen|nara,conditional_negative,conditional_negative|если|не|вежливо,masu_negative_nara_rare,masu_negative_nara_rare,"Условная, редкая · 〜ませんなら",BASE + MASU_LINK + MASEN + NARA,BASE|MASU_LINK|MASEN|NARA,,0,,1,0,0
potential_nonpast,Потенциальная форма,potential,потенциальная_словарная,identity,,утвердительная,непрошедшее,простая,потенциальный,,стандартная,1,,食べられる,0,0,optional,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,могу,смогу,natural,ru_inf_pf,могу {ru_inf_pf},смогу {ru_inf_pf},0,,BASE|POT_M+RU,BASE|POT_M|RU,BASE|POT_H|RU,2,medium,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|keru,行|ke|ru,行|ke|ru,ability,ability|affirmative|nonpast|plain,potential_nonpast,potential_nonpast,Потенциальная форма,BASE + POT_H + RU,BASE|POT_H|RU,potential_ranuki,1,Разговорная ら抜き-форма принимается только если она существует для выбранного глагола. В строгом учебном режиме стандартная потенциальная форма остаётся предпочтительной.,0,1,1
potential_past,Потенциальная форма — прошедшая,potential,потенциальная_словарная,ichidan_conjugate,past,утвердительная,прошедшее,простая,потенциальный,,стандартная,1,,食べられた,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,смог(ла),тогда|мог(ла),natural,ru_inf_pf,смог(ла) {ru_inf_pf},тогда мог(ла) {ru_inf_pf},0,,BASE|POT_M+TA,BASE|POT_M|TA,BASE|POT_H|TA,3,medium,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|keta,行|ke|ta,行|ke|ta,ability,ability|смог(ла),potential_past,potential_past,Потенциальная · прошедшая,BASE + POT_H + TA,BASE|POT_H|TA,,0,,0,0,1
potential_negative,Потенциальная форма — отрицательная,potential,потенциальная_словарная,ichidan_conjugate,negative,отрицательная,непрошедшее,простая,потенциальный,,стандартная,1,,食べられない,1,0,optional,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,не|могу,не|смогу,natural,ru_inf_pf,не могу {ru_inf_pf},не смогу {ru_inf_pf},0,,BASE|POT_M+NAI,BASE|POT_M|NAI,BASE|POT_H|NAI,3,medium,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kenai,行|ke|nai,行|ke|nai,ability,ability|negative|nonpast|plain,potential_negative,potential_negative,Потенциальная · отрицательная,BASE + POT_H + NAI,BASE|POT_H|NAI,potential_ranuki_negative,1,Разговорная отрицательная ら抜き-форма принимается только если она доступна для глагола.,0,1,1
potential_negative_past,Потенциальная форма — отрицательная прошедшая,potential,потенциальная_словарная,ichidan_conjugate,negative_past,отрицательная,прошедшее,простая,потенциальный,,стандартная,1,,食べられなかった,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,не|смог(ла),тогда|не|мог(ла),natural,ru_inf_pf,не смог(ла) {ru_inf_pf},тогда не мог(ла) {ru_inf_pf},0,,BASE|POT_M+NAKATTA,BASE|POT_M|NAKATTA,BASE|POT_H|NAKATTA,4,hard,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kenakatta,行|ke|nakatta,行|ke|nakatta,ability,ability|не|смог(ла),potential_negative_past,potential_negative_past,Потенциальная · отрицательная прошедшая,BASE + POT_H + NAKATTA,BASE|POT_H|NAKATTA,,0,,0,0,1
potential_masu,Потенциальная форма — вежливая,potential,потенциальная_словарная,ichidan_conjugate,masu,утвердительная,непрошедшее,вежливая,потенциальный,,стандартная,1,,食べられます,0,0,optional,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,могу|вежливо,смогу|вежливо,natural,ru_inf_pf,могу {ru_inf_pf},смогу {ru_inf_pf},0,,BASE|POT_M+MASU,BASE|POT_M|MASU,BASE|POT_H|MASU,3,medium,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kemasu,行|ke|masu,行|ke|masu,ability,ability|могу|вежливо,potential_masu,potential_masu,Потенциальная · вежливо,BASE + POT_H + MASU,BASE|POT_H|MASU,,0,,0,0,1
potential_masu_past,Потенциальная форма — вежливая прошедшая,potential,потенциальная_словарная,ichidan_conjugate,masu_past,утвердительная,прошедшее,вежливая,потенциальный,,стандартная,1,,食べられました,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,смог(ла)|вежливо,тогда|мог(ла)|вежливо,natural,ru_inf_pf,смог(ла) {ru_inf_pf},тогда мог(ла) {ru_inf_pf},0,,BASE|POT_M+MASHITA,BASE|POT_M|MASHITA,BASE|POT_H|MASHITA,4,hard,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kemashita,行|ke|mashita,行|ke|mashita,ability,ability|смог(ла)|вежливо,potential_masu_past,potential_masu_past,"Потенциальная · прошедшая, вежливо",BASE + POT_H + MASHITA,BASE|POT_H|MASHITA,,0,,0,0,1
potential_masu_negative,Потенциальная форма — вежливая отрицательная,potential,потенциальная_словарная,ichidan_conjugate,masu_negative,отрицательная,непрошедшее,вежливая,потенциальный,,стандартная,1,,食べられません,1,0,optional,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,не|могу|вежливо,не|смогу|вежливо,natural,ru_inf_pf,не могу {ru_inf_pf},не смогу {ru_inf_pf},0,,BASE|POT_M+MASEN,BASE|POT_M|MASEN,BASE|POT_H|MASEN,4,hard,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kemasen,行|ke|masen,行|ke|masen,ability,ability|не|могу|вежливо,potential_masu_negative,potential_masu_negative,"Потенциальная · отрицательная, вежливо",BASE + POT_H + MASEN,BASE|POT_H|MASEN,,0,,0,0,1
potential_masu_negative_past,Потенциальная форма — вежливая отрицательная прошедшая,potential,потенциальная_словарная,ichidan_conjugate,masu_negative_past,отрицательная,прошедшее,вежливая,потенциальный,,стандартная,1,,食べられませんでした,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,не|смог(ла)|вежливо,тогда|не|мог(ла)|вежливо,natural,ru_inf_pf,не смог(ла) {ru_inf_pf},тогда не мог(ла) {ru_inf_pf},0,,BASE|POT_M+MASEN+DESHITA,BASE|POT_M|MASEN+DESHITA,BASE|POT_H|MASEN|DESHITA,5,hard,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kemasendeshita,行|ke|masendeshita,行|ke|masen|deshita,ability,ability|не|смог(ла)|вежливо,potential_masu_negative_past,potential_masu_negative_past,"Потенциальная · отрицательная прошедшая, вежливо",BASE + POT_H + MASEN + DESHITA,BASE|POT_H|MASEN|DESHITA,,0,,0,0,1
passive_nonpast,Страдательная (пассивная) форма,passive,страдательная_словарная,identity,,утвердительная,непрошедшее,простая,страдательный,,стандартная,1,,食べられる,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,пассив,,context,ru_passive_hint,{ru_passive_hint},,1,"Пассив в японском часто требует контекста; у некоторых глаголов, например 行く, прямого русского дубля нет.",BASE|PASS_M+RU,BASE|PASS_M|RU,BASE|PASS_H|RU,3,medium,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kareru,行|kare|ru,行|ka|re|ru,passive,passive|пассив,passive_nonpast,passive_nonpast,Пассивная форма,BASE + PASS_H + RU,BASE|PASS_H|RU,,0,,0,0,1
passive_past,Страдательная (пассивная) форма — прошедшая,passive,страдательная_словарная,ichidan_conjugate,past,утвердительная,прошедшее,простая,страдательный,,стандартная,1,,食べられた,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,пассив|прошлое,,context,ru_passive_hint,{ru_passive_hint},,1,"Пассив в японском часто требует контекста; у некоторых глаголов, например 行く, прямого русского дубля нет.",BASE|PASS_M+TA,BASE|PASS_M|TA,BASE|PASS_H|TA,4,hard,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|kareta,行|kare|ta,行|ka|re|ta,passive,passive|пассив|прошлое,passive_past,passive_past,Пассивная форма — прошедшая,BASE + PASS_H + TA,BASE|PASS_H|TA,,0,,0,0,1
passive_negative,Страдательная (пассивная) форма — отрицательная,passive,страдательная_словарная,ichidan_conjugate,negative,отрицательная,непрошедшее,простая,страдательный,,стандартная,1,,食べられない,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,не|пассив,,context,ru_passive_hint,{ru_passive_hint},,1,"Пассив в японском часто требует контекста; у некоторых глаголов, например 行く, прямого русского дубля нет.",BASE|PASS_M+NAI,BASE|PASS_M|NAI,BASE|PASS_H|NAI,4,hard,"| = новая карточка; + = объединить в одну карточку; ∅ = меняется чтение, но японский символ не добавляется",dynamic_stem_same_verb + universal_same_family,行|karenai,行|kare|nai,行|ka|re|nai,passive,passive|не|пассив,passive_negative,passive_negative,Пассивная форма — отрицательная,BASE + PASS_H + NAI,BASE|PASS_H|NAI,,0,,0,0,1
