verb_id,словарная_форма,чтение,romaji,значение_ru,jlpt,тип_глагола,основа_romaji,masu_основа,простая_прошедшая,te_форма,nai_форма,условная_ba,условная_tara,потенциальная_словарная,потенциальная_разг_без_ra,страдательная_словарная,побудительная_словарная,побудительно_страдательная_словарная,повелительная,запретительная,волевая,tai_база,nakereba,nakya,nakucha,ru_inf_ipf,ru_inf_pf,ru_present_1sg,ru_future_1sg,ru_past_ipf_mf,ru_past_pf_mf,ru_future_pf_1sg,ru_conditional_pf_1sg,ru_gerund_pf,ru_imperative_2sg,ru_1pl_pf,ru_passive_hint,ru_causative_hint,ru_causative_passive_hint,chunk_base_jp,chunk_neg_base_jp,chunk_dict_medium_jp,chunk_dict_medium_label,chunk_dict_hard_jp,chunk_dict_hard_label,chunk_masu_link_jp,chunk_masu_link_label,chunk_nai_link_jp,chunk_nai_link_label,chunk_ba_link_medium_jp,chunk_ba_link_medium_label,chunk_ba_link_hard_jp,chunk_ba_link_hard_label,chunk_te_medium_jp,chunk_te_medium_label,chunk_te_hard_jp,chunk_te_hard_label,chunk_ta_medium_jp,chunk_ta_medium_label,chunk_ta_hard_jp,chunk_ta_hard_label,chunk_potential_medium_jp,chunk_potential_medium_label,chunk_potential_hard_jp,chunk_potential_hard_label,chunk_passive_medium_jp,chunk_passive_medium_label,chunk_passive_hard_jp,chunk_passive_hard_label,chunk_causative_medium_jp,chunk_causative_medium_label,chunk_causative_hard_jp,chunk_causative_hard_label,chunk_causative_passive_medium_jp,chunk_causative_passive_medium_label,chunk_causative_passive_hard_jp,chunk_causative_passive_hard_label,chunk_imperative_medium_jp,chunk_imperative_medium_label,chunk_imperative_hard_jp,chunk_imperative_hard_label,chunk_volitional_medium_jp,chunk_volitional_medium_label,chunk_volitional_hard_jp,chunk_volitional_hard_label,chunk_stem_distractors_label,chunk_ranuki_medium_jp,chunk_ranuki_medium_label,chunk_ranuki_hard_jp,chunk_ranuki_hard_label
iku,行く,いく,iku,"идти, ехать",N5,godan-ku,ik,行き,行った,行って,行かない,行けば,行ったら,行ける,,行かれる,行かせる,行かせられる,行け,行くな,行こう,行きたい,行かなければ,行かなきゃ,行かなくちゃ,идти / ехать,пойти / поехать,иду / еду,буду идти / ехать,шёл / шла; ехал(а),пошёл / пошла; поехал(а),пойду / поеду,пойду / поеду,пойдя / поехав,иди / езжай,пойдём / поедем,быть подвергнутым действию «идти / ехать»,заставить / разрешить: пойти / поехать,быть вынужденным: пойти / поехать,行,行,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,って,tte,って,tte,った,tta,った,tta,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,
iru,要る,いる,iru,быть нужным; требоваться,N5,godan-ru,i,要り,要った,要って,要らない,要れば,要ったら,要れる,,要られる,要らせる,要らせられる,要れ,要るな,要ろう,要りたい,要らなければ,要らなきゃ,要らなくちゃ,требоваться,потребоваться,требуется,буду требоваться,требовалось,потребовалось,потребуется,потребуется,потребовавшись,—,—,пассив: действие «требоваться» направлено на субъект,заставить / разрешить: потребоваться,быть вынужденным: потребоваться,要,要,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
ireru,入れる,いれる,ireru,класть внутрь; включать,N5,ichidan,ire,入れ,入れた,入れて,入れない,入れれば,入れたら,入れられる,入れれる,入れられる,入れさせる,入れさせられる,入れろ,入れるな,入れよう,入れたい,入れなければ,入れなきゃ,入れなくちゃ,класть / включать,положить / включить,кладу / включаю,буду класть / включать,клал(а) / включал(а),положил(а) / включил(а),положу / включу,положу / включу,положив / включив,положи / включи,положим / включим,пассив: действие «класть / включать» направлено на субъект,заставить / разрешить: положить / включить,быть вынужденным: положить / включить,入れ,入れ,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
utau,歌う,うたう,utau,петь,N5,godan-u,uta,歌い,歌った,歌って,歌わない,歌えば,歌ったら,歌える,,歌われる,歌わせる,歌わせられる,歌え,歌うな,歌おう,歌いたい,歌わなければ,歌わなきゃ,歌わなくちゃ,петь,спеть,пою,буду петь,пел(а),спел(а),спою,спою,спев,спой,споём,пассив: действие «петь» направлено на субъект,заставить / разрешить: спеть,быть вынужденным: спеть,歌,歌,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,
umareru,生まれる,うまれる,umareru,рождаться,N5,ichidan,umare,生まれ,生まれた,生まれて,生まれない,生まれれば,生まれたら,生まれられる,生まれれる,生まれられる,生まれさせる,生まれさせられる,生まれろ,生まれるな,生まれよう,生まれたい,生まれなければ,生まれなきゃ,生まれなくちゃ,рождаться,родиться,рождаюсь,буду рождаться,рождался(ась),родился(ась),рожусь,рожусь,родившись,—,—,пассив: действие «рождаться» направлено на субъект,заставить / разрешить: родиться,быть вынужденным: родиться,生まれ,生まれ,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
uru,売る,うる,uru,продавать,N5,godan-ru,u,売り,売った,売って,売らない,売れば,売ったら,売れる,,売られる,売らせる,売らせられる,売れ,売るな,売ろう,売りたい,売らなければ,売らなきゃ,売らなくちゃ,продавать,продать,продаю,буду продавать,продавал(а),продал(а),продам,продам,продав,продай,продадим,пассив: действие «продавать» направлено на субъект,заставить / разрешить: продать,быть вынужденным: продать,売,売,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
okiru,起きる,おきる,okiru,"вставать, просыпаться",N5,ichidan,oki,起き,起きた,起きて,起きない,起きれば,起きたら,起きられる,起きれる,起きられる,起きさせる,起きさせられる,起きろ,起きるな,起きよう,起きたい,起きなければ,起きなきゃ,起きなくちゃ,вставать / просыпаться,встать / проснуться,встаю / просыпаюсь,буду вставать / просыпаться,вставал(а) / просыпался(ась),встал(а) / проснулся(лась),встану / проснусь,встану / проснусь,встав / проснувшись,вставай,встанем,быть подвергнутым действию «вставать / просыпаться»,заставить / разрешить: встать / проснуться,быть вынужденным: встать / проснуться,起き,起き,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
oku,置く,おく,oku,класть; ставить,N5,godan-ku,ok,置き,置いた,置いて,置かない,置けば,置いたら,置ける,,置かれる,置かせる,置かせられる,置け,置くな,置こう,置きたい,置かなければ,置かなきゃ,置かなくちゃ,класть / ставить,положить / поставить,кладу / ставлю,буду класть / ставить,клал(а) / ставил(а),положил(а) / поставил(а),положу / поставлю,положу / поставлю,положив / поставив,положи / поставь,положим / поставим,пассив: действие «класть / ставить» направлено на субъект,заставить / разрешить: положить / поставить,быть вынужденным: положить / поставить,置,置,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,
oshieru,教える,おしえる,oshieru,"обучать, сообщать",N5,ichidan,oshie,教え,教えた,教えて,教えない,教えれば,教えたら,教えられる,教えれる,教えられる,教えさせる,教えさせられる,教えろ,教えるな,教えよう,教えたい,教えなければ,教えなきゃ,教えなくちゃ,учить / сообщать,научить / сообщить,учу / сообщаю,буду учить / сообщать,учил(а) / сообщал(а),научил(а) / сообщил(а),научу / сообщу,научу / сообщу,научив / сообщив,научи / сообщи,научим / сообщим,быть подвергнутым действию «учить / сообщать»,заставить / разрешить: научить / сообщить,быть вынужденным: научить / сообщить,教え,教え,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
osu,押す,おす,osu,нажимать; толкать,N5,godan-su,os,押し,押した,押して,押さない,押せば,押したら,押せる,,押される,押させる,押させられる,押せ,押すな,押そう,押したい,押さなければ,押さなきゃ,押さなくちゃ,нажимать / толкать,нажать / толкнуть,нажимаю / толкаю,буду нажимать / толкать,нажимал(а) / толкал(а),нажал(а) / толкнул(а),нажму / толкну,нажму / толкну,нажав / толкнув,нажми / толкни,нажмём / толкнём,пассив: действие «нажимать / толкать» направлено на субъект,заставить / разрешить: нажать / толкнуть,быть вынужденным: нажать / толкнуть,押,押,す,su,す,su,し,shi,さ,sa,せ,se,せ,se,して,shite,して,shite,した,shita,した,shita,せ,se,せ,se,され,sare,さ|れ,sa|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,せ,se,せ,se,そう,sou,そ|う,so|u,sa|shi|se|so,,,,
oboeru,覚える,おぼえる,oboeru,запоминать,N5,ichidan,oboe,覚え,覚えた,覚えて,覚えない,覚えれば,覚えたら,覚えられる,覚えれる,覚えられる,覚えさせる,覚えさせられる,覚えろ,覚えるな,覚えよう,覚えたい,覚えなければ,覚えなきゃ,覚えなくちゃ,запоминать,запомнить,запоминаю,буду запоминать,запоминал(а),запомнил(а),запомню,запомню,запомнив,запомни,запомним,пассив: действие «запоминать» направлено на субъект,заставить / разрешить: запомнить,быть вынужденным: запомнить,覚え,覚え,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
oyogu,泳ぐ,およぐ,oyogu,плавать,N5,godan-gu,oyog,泳ぎ,泳いだ,泳いで,泳がない,泳げば,泳いだら,泳げる,,泳がれる,泳がせる,泳がせられる,泳げ,泳ぐな,泳ごう,泳ぎたい,泳がなければ,泳がなきゃ,泳がなくちゃ,плавать,поплавать,плаваю,буду плавать,плавал(а),поплавал(а),поплаваю,поплаваю,поплавав,плавай,поплаваем,пассив: действие «плавать» направлено на субъект,заставить / разрешить: поплавать,быть вынужденным: поплавать,泳,泳,ぐ,gu,ぐ,gu,ぎ,gi,が,ga,げ,ge,げ,ge,いで,iで,いで,iで,いだ,iだ,いだ,iだ,げ,ge,げ,ge,がれ,gare,が|れ,ga|re,がせ,gase,が|せ,ga|se,がせられ,gaserare,が|せ|ら|れ,ga|se|ra|re,げ,ge,げ,ge,ごう,gou,ご|う,go|u,ga|gi|ge|go,,,,
oriru,降りる,おりる,oriru,выходить из транспорта; спускаться,N5,ichidan,ori,降り,降りた,降りて,降りない,降りれば,降りたら,降りられる,降りれる,降りられる,降りさせる,降りさせられる,降りろ,降りるな,降りよう,降りたい,降りなければ,降りなきゃ,降りなくちゃ,выходить / спускаться,выйти / спуститься,выхожу / спускаюсь,буду выходить / спускаться,выходил(а) / спускался(ась),вышел / вышла; спустился(ась),выйду / спущусь,выйду / спущусь,выйдя / спустившись,выходи / спускайся,выйдем / спустимся,пассив: действие «выходить / спускаться» направлено на субъект,заставить / разрешить: выйти / спуститься,быть вынужденным: выйти / спуститься,降り,降り,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
kau,買う,かう,kau,покупать,N5,godan-u,ka,買い,買った,買って,買わない,買えば,買ったら,買える,,買われる,買わせる,買わせられる,買え,買うな,買おう,買いたい,買わなければ,買わなきゃ,買わなくちゃ,покупать,купить,покупаю,буду покупать,покупал(а),купил(а),куплю,куплю,купив,купи,купим,быть подвергнутым действию «покупать»,заставить / разрешить: купить,быть вынужденным: купить,買,買,う,u,う,u,い,i,わ,wa,え,e,え,e,って,tte,って,tte,った,tta,った,tta,え,e,え,e,われ,ware,わ|れ,wa|re,わせ,wase,わ|せ,wa|se,わせられ,waserare,わ|せ|ら|れ,wa|se|ra|re,え,e,え,e,おう,ou,お|う,o|u,wa|i|e|o,,,,
kaesu,返す,かえす,kaesu,возвращать,N5,godan-su,kaes,返し,返した,返して,返さない,返せば,返したら,返せる,,返される,返させる,返させられる,返せ,返すな,返そう,返したい,返さなければ,返さなきゃ,返さなくちゃ,возвращать,вернуть,возвращаю,буду возвращать,возвращал(а),вернул(а),верну,верну,вернув,верни,вернём,пассив: действие «возвращать» направлено на субъект,заставить / разрешить: вернуть,быть вынужденным: вернуть,返,返,す,su,す,su,し,shi,さ,sa,せ,se,せ,se,して,shite,して,shite,した,shita,した,shita,せ,se,せ,se,され,sare,さ|れ,sa|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,せ,se,せ,se,そう,sou,そ|う,so|u,sa|shi|se|so,,,,
kaeru,帰る,かえる,kaeru,возвращаться домой,N5,godan-ru,kae,帰り,帰った,帰って,帰らない,帰れば,帰ったら,帰れる,,帰られる,帰らせる,帰らせられる,帰れ,帰るな,帰ろう,帰りたい,帰らなければ,帰らなきゃ,帰らなくちゃ,возвращаться,вернуться,возвращаюсь,буду возвращаться,возвращался(ась),вернулся(лась),вернусь,вернусь,вернувшись,возвращайся,вернёмся,быть подвергнутым действию «возвращаться»,заставить / разрешить: вернуться,быть вынужденным: вернуться,帰,帰,る,ru,る,ru,り,ri,ら,ra,れ,re,れ,re,って,tte,って,tte,った,tta,った,tta,れ,re,れ,re,られ,rare,ら|れ,ra|re,らせ,rase,ら|せ,ra|se,らせられ,raserare,ら|せ|ら|れ,ra|se|ra|re,れ,re,れ,re,ろう,rou,ろ|う,ro|u,ra|ri|re|ro,,,,
kaku,書く,かく,kaku,писать,N5,godan-ku,kak,書き,書いた,書いて,書かない,書けば,書いたら,書ける,,書かれる,書かせる,書かせられる,書け,書くな,書こう,書きたい,書かなければ,書かなきゃ,書かなくちゃ,писать,написать,пишу,буду писать,писал(а),написал(а),напишу,напишу,написав,пиши,напишем,быть подвергнутым действию «писать»,заставить / разрешить: написать,быть вынужденным: написать,書,書,く,ku,く,ku,き,ki,か,ka,け,ke,け,ke,いて,ite,いて,ite,いた,ita,いた,ita,け,ke,け,ke,かれ,kare,か|れ,ka|re,かせ,kase,か|せ,ka|se,かせられ,kaserare,か|せ|ら|れ,ka|se|ra|re,け,ke,け,ke,こう,kou,こ|う,ko|u,ka|ki|ke|ko,,,,
kakeru,掛ける,かける,kakeru,вешать; звонить; надевать очки,N5,ichidan,kake,掛け,掛けた,掛けて,掛けない,掛ければ,掛けたら,掛けられる,掛けれる,掛けられる,掛けさせる,掛けさせられる,掛けろ,掛けるな,掛けよう,掛けたい,掛けなければ,掛けなきゃ,掛けなくちゃ,вешать / звонить,повесить / позвонить,вешаю / звоню,буду вешать / звонить,вешал(а) / звонил(а),повесил(а) / позвонил(а),повешу / позвоню,повешу / позвоню,повесив / позвонив,повесь / позвони,повесим / позвоним,пассив: действие «вешать / звонить» направлено на субъект,заставить / разрешить: повесить / позвонить,быть вынужденным: повесить / позвонить,掛け,掛け,る,ru,る,ru,,,,,れ,re,れ,re,て,te,て,te,た,ta,た,ta,られ,rare,ら|れ,ra|re,られ,rare,ら|れ,ra|re,させ,sase,さ|せ,sa|se,させられ,saserare,さ|せ|ら|れ,sa|se|ra|re,ろ,ro,ろ,ro,よう,you,よ|う,yo|u,ra|sa|re|ro|yo,れ,re,れ,re
